 -10.0017 69.8176 25
 -10.1841 59.8193 30
 -30.1807 60.1841 30
 -29.9983 70.1824 25

 -10.0017 69.8176 25
 -9.81927 79.8159 30
 -29.8159 80.1807 30
 -29.9983 70.1824 25

 -10.0017 69.8176 25
 -9.81927 79.8159 25
 -29.8159 80.1807 25
 -29.9983 70.1824 25

 -10.0017 69.8176 25
 -9.81927 79.8159 20
 -29.8159 80.1807 20
 -29.9983 70.1824 25

 -10.0017 69.8176 25
 -10.1841 59.8193 20
 -30.1807 60.1841 20
 -29.9983 70.1824 25

 -10.0017 69.8176 25
 -10.1841 59.8193 30
 -30.1807 60.1841 30
 -29.9983 70.1824 25

